AnimalType,SexUponOutcome,AgeUponOutcome,Breed1,Breed2,Color,Outcome
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red/Black,Adoption/
Dog,Neutered Male,30,Chinese Sharpei Mix,Chinese Sharpei Mix,Black/White,Adoption/Foster
Cat,Neutered Male,2920,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Cat,Intact Male,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Dog,Intact Male,365,Rottweiler Mix,Rottweiler Mix,Black/Brown,Return_to_owner/
Dog,Spayed Female,3285,Flat Coat Retriever Mix,Flat Coat Retriever Mix,Black,Adoption/
Dog,Neutered Male,2920,English Bulldog,Beagle,Brown/Black,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Black,Adoption/Foster
Dog,Spayed Female,2920,Pug Mix,Pug Mix,Tan/Black,Return_to_owner/
Cat,Neutered Male,730,Maine Coon Mix,Maine Coon Mix,Brown Tabby,Transfer/SCRP
Dog,Neutered Male,730,Dachshund,Chihuahua Shorthair,Black/Tan,Return_to_owner/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Adoption/
Dog,Intact Male,1825,Doberman Pinsch,Doberman Pinsch,Black/Brown,Transfer/Partner
Dog,Intact Male,30,Australian Shepherd,Anatol Shepherd,Blue Merle,Transfer/Partner
Cat,Spayed Female,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Adoption/
Dog,Neutered Male,1095,German Shepherd,Labrador Retriever,Sable,Return_to_owner/
Dog,Neutered Male,1460,Miniature Poodle Mix,Miniature Poodle Mix,White,Transfer/Partner
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Spayed Female,90,Domestic Longhair Mix,Domestic Longhair Mix,Calico,Adoption/
Cat,Unknown,14,Siamese Mix,Siamese Mix,Flame Point,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Cat,Intact Male,3,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Intact Female,365,Chihuahua Shorthair,Miniature Schnauzer,Black/Tan,Transfer/Partner
Dog,Spayed Female,1825,Boxer,Labrador Retriever,Black/Brown,Adoption/Foster
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Return_to_owner/
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Brown,Adoption/
Dog,Spayed Female,210,Rat Terrier,Pointer,Black/White,Adoption/
Dog,Neutered Male,730,Boston Terrier Mix,Boston Terrier Mix,Red/White,Transfer/Partner
Dog,Spayed Female,730,Chihuahua Shorthair,Dachshund,Gray/White,Adoption/Foster
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Dog,Spayed Female,365,Jack Russell Terrier,Chihuahua Shorthair,Brown/White,Adoption/
Dog,Intact Male,730,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Yellow,Transfer/Partner
Cat,Intact Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Adoption/
Dog,Intact Male,365,Lhasa Apso Mix,Lhasa Apso Mix,Cream/Brown,Return_to_owner/
Cat,Spayed Female,60,Domestic Longhair Mix,Domestic Longhair Mix,Black,Adoption/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,1095,Miniature Pinscher Mix,Miniature Pinscher Mix,Black/Tan,Adoption/
Dog,Neutered Male,365,Pit Bull Mix,Pit Bull Mix,Blue/White,Transfer/Partner
Dog,Spayed Female,3285,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Return_to_owner/
Cat,Neutered Male,3650,Domestic Longhair Mix,Domestic Longhair Mix,Gray/White,Euthanasia/Suffering
Dog,Intact Male,300,Pit Bull Mix,Pit Bull Mix,Black/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Adoption/Offsite
Dog,Intact Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Tan,Transfer/Partner
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/Partner
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,730,Dachshund,Cavalier Span,Black/White,Adoption/
Dog,Intact Female,21,Pit Bull Mix,Pit Bull Mix,White,Transfer/Partner
Dog,Spayed Female,60,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Cat,Intact Female,180,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie/White,Transfer/SCRP
Dog,Neutered Male,365,Bruss Griffon Mix,Bruss Griffon Mix,White/Brown,Adoption/Offsite
Dog,Neutered Male,4745,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Brown Brindle,Euthanasia/Suffering
Cat,Intact Female,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Dog,Intact Male,730,Golden Retriever,Standard Poodle,White,Return_to_owner/
Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,2190,Pit Bull Mix,Pit Bull Mix,Chocolate/White,Transfer/Partner
Dog,Spayed Female,90,Cairn Terrier Mix,Cairn Terrier Mix,Brown/White,Adoption/
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Euthanasia/Suffering
Cat,Unknown,2,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Spayed Female,730,Pit Bull Mix,Pit Bull Mix,Fawn,Return_to_owner/
Dog,Intact Female,3650,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Euthanasia/Suffering
Dog,Spayed Female,1460,Labrador Retriever,Pointer,White/Tan,Return_to_owner/
Cat,Neutered Male,5110,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Tabby,Adoption/
Dog,Intact Male,730,American Bulldog Mix,American Bulldog Mix,Brown/White,Euthanasia/Aggressive
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,White,Adoption/
Dog,Intact Male,90,Plott Hound Mix,Plott Hound Mix,Brown Brindle,Transfer/Partner
Dog,Unknown,1,Labrador Retriever Mix,Labrador Retriever Mix,Sable/Brown,Transfer/Partner
Cat,Neutered Male,2190,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,120,Pit Bull Mix,Pit Bull Mix,Brown/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair,Domestic Shorthair,Tortie,Adoption/
Cat,Neutered Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tricolor,Adoption/
Dog,Spayed Female,365,Dachshund,Beagle,Brown/Tan,Return_to_owner/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/SCRP
Cat,Intact Female,300,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Dog,Neutered Male,365,Catahoula Mix,Catahoula Mix,Yellow Brindle/White,Adoption/
Cat,Intact Male,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Black Smoke,Transfer/Partner
Dog,Intact Male,150,Yorkshire Terrier,Yorkshire Terrier,Tricolor/Silver,Return_to_owner/
Dog,Intact Female,3285,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair,Domestic Shorthair,Brown Tabby/White,Adoption/Foster
Dog,Spayed Female,5110,Chihuahua Longhair,Chihuahua Longhair,Black/Brown,Return_to_owner/
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Adoption/
Dog,Spayed Female,240,Pit Bull Mix,Pit Bull Mix,Blue/White,Adoption/
Dog,Neutered Male,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Fawn,Adoption/
Dog,Neutered Male,120,Pit Bull,Labrador Retriever,Black/White,Adoption/
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Blue Tabby,Return_to_owner/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/SCRP
Dog,Spayed Female,1095,Yorkshire Terrier,Chihuahua Shorthair,Brown/Black,Adoption/
Cat,Spayed Female,120,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Blue,Adoption/
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tricolor,Adoption/
Dog,Spayed Female,60,Australian Cattle Dog,German Shepherd,Tricolor,Transfer/Partner
Dog,Neutered Male,180,Dachshund,Chihuahua Shorthair,Sable/Tan,Adoption/
Cat,Neutered Male,4745,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Brown Tabby,Euthanasia/Suffering
Dog,Neutered Male,365,Beagle Mix,Beagle Mix,Tricolor/Black,Transfer/Partner
Cat,Unknown,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Cream,Transfer/Partner
Dog,Neutered Male,365,Australian Shepherd Mix,Australian Shepherd Mix,Brown/Black,Adoption/
Cat,Spayed Female,3650,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby/White,Transfer/Partner
Dog,Spayed Female,30,Jack Russell Terrier Mix,Jack Russell Terrier Mix,Black/White,Adoption/Foster
Dog,Spayed Female,730,German Shepherd Mix,German Shepherd Mix,Black/Brown Brindle,Return_to_owner/
Dog,Spayed Female,2190,Shih Tzu Mix,Shih Tzu Mix,Gray/White,Return_to_owner/
Cat,Neutered Male,1825,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Dog,Spayed Female,365,Jack Russell Terrier,Australian Cattle Dog,Tricolor,Return_to_owner/
Cat,Spayed Female,300,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Orange Tabby,Adoption/
Dog,Neutered Male,365,Australian Shepherd Mix,Australian Shepherd Mix,Red Merle,Adoption/
Dog,Neutered Male,365,American Pit Bull Terrier Mix,American Pit Bull Terrier Mix,Yellow Brindle,Transfer/Partner
Cat,Intact Female,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Transfer/Partner
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,150,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Adoption/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown/White,Adoption/
Cat,Spayed Female,180,Domestic Longhair,Domestic Longhair,Black,Adoption/
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Neutered Male,730,Australian Cattle Dog Mix,Australian Cattle Dog Mix,Tan/White,Return_to_owner/
Dog,Neutered Male,240,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Adoption/
Dog,Intact Female,60,Australian Cattle Dog,Chinese Sharpei,Red Tick/White,Adoption/
Cat,Neutered Male,300,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Cat,Spayed Female,730,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Calico,Adoption/
Cat,Intact Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/SCRP
Cat,Neutered Male,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Transfer/Partner
Dog,Neutered Male,730,Lhasa Apso,Lhasa Apso,White/Tan,Transfer/Partner
Cat,Unknown,7,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Neutered Male,120,Chihuahua Shorthair,Dachshund,Brown Brindle,Return_to_owner/
Dog,Neutered Male,2190,Pomeranian Mix,Pomeranian Mix,Brown,Return_to_owner/
Dog,Neutered Male,2555,Rottweiler Mix,Rottweiler Mix,Black/Tan,Adoption/
Cat,Neutered Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Neutered Male,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Adoption/
Dog,Unknown,30,Boxer Mix,Boxer Mix,Black,Transfer/Partner
Cat,Spayed Female,1095,Domestic Longhair,Domestic Longhair,White/Gray,Adoption/
Cat,Intact Male,7,Domestic Shorthair Mix,Domestic Shorthair Mix,White/Brown Tabby,Transfer/Partner
Dog,Spayed Female,60,Pointer Mix,Pointer Mix,Tricolor,Adoption/
Dog,Intact Male,730,Basset Hound Mix,Basset Hound Mix,Tricolor,Return_to_owner/
Cat,Unknown,365,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black/White,Transfer/SCRP
Dog,Intact Female,30,Blue Lacy,Australian Kelpie,Tricolor,Transfer/Partner
Dog,Intact Female,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
Dog,Intact Female,730,Pit Bull Mix,Pit Bull Mix,Blue/White,Return_to_owner/
Cat,Unknown,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico,Transfer/Partner
Dog,Neutered Male,1095,Chihuahua Shorthair,Border Terrier,Red/White,Adoption/
Dog,Intact Male,2190,Golden Retriever Mix,Golden Retriever Mix,Red,Return_to_owner/
Cat,Unknown,14,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Dog,Intact Female,365,Treeing Walker Coonhound Mix,Treeing Walker Coonhound Mix,Tricolor,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Dog,Neutered Male,730,Border Collie Mix,Border Collie Mix,Sable,Adoption/
Cat,Neutered Male,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Black,Adoption/
Cat,Neutered Male,1825,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,others
Cat,Neutered Male,1825,Domestic Longhair Mix,Domestic Longhair Mix,Black,Adoption/
Dog,Neutered Male,1825,Manchester Terrier Mix,Manchester Terrier Mix,Red/White,Transfer/Partner
Dog,Neutered Male,60,Catahoula Mix,Catahoula Mix,Brown Brindle/White,Adoption/
Cat,Spayed Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/Foster
Dog,Spayed Female,730,Australian Kelpie Mix,Australian Kelpie Mix,Black/Blue Merle,Adoption/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/White,Transfer/Partner
Cat,Intact Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Transfer/SCRP
Cat,Neutered Male,60,Domestic Shorthair,Domestic Shorthair,Black,Adoption/
Cat,Spayed Female,60,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Torbie,Adoption/
Dog,Intact Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/Partner
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/
Dog,Intact Male,60,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Chocolate/Tricolor,Return_to_owner/
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Tan,Adoption/
Dog,Spayed Female,365,Miniature Schnauzer Mix,Miniature Schnauzer Mix,Black/Blue,Transfer/Partner
Cat,Intact Female,28,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Dog,Neutered Male,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Cream/White,Adoption/
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Transfer/Partner
Dog,Spayed Female,730,Jack Russell Terrier,Chihuahua Shorthair,Tan,Adoption/
Dog,Spayed Female,300,Pug,Chihuahua Shorthair,Sable/Brown,Adoption/
Dog,Neutered Male,1095,Labrador Retriever Mix,Labrador Retriever Mix,Black,Return_to_owner/
Dog,Spayed Female,365,Pit Bull Mix,Pit Bull Mix,Blue/White,Transfer/Partner
Dog,Spayed Female,180,Pointer,Labrador Retriever,White/Black,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Adoption/Foster
Dog,Intact Male,2920,Pit Bull Mix,Pit Bull Mix,Blue/White,Return_to_owner/
Dog,Intact Female,365,Basset Hound,Dachshund,Black/White,Transfer/Partner
Dog,Neutered Male,1825,Australian Cattle Dog,Cardigan Welsh Corgi,Tan,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Cat,Unknown,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Transfer/SCRP
Cat,Intact Male,150,Domestic Medium Hair,Domestic Medium Hair,Brown Tabby,Transfer/SCRP
Cat,Spayed Female,2920,Domestic Longhair Mix,Domestic Longhair Mix,Orange Tabby,Transfer/Partner
Dog,Spayed Female,2190,Pit Bull Mix,Pit Bull Mix,White/Brown Brindle,Adoption/Foster
Dog,Neutered Male,730,Chinese Sharpei Mix,Chinese Sharpei Mix,Brown Brindle,Adoption/
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Neutered Male,60,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Adoption/
Cat,Neutered Male,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/Partner
Cat,Intact Female,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/SCRP
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby,Return_to_owner/
Dog,Spayed Female,30,Dachshund Mix,Dachshund Mix,Black/Brown,Adoption/Foster
Cat,Spayed Female,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Adoption/Foster
Dog,Neutered Male,2555,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Blue/Tan,Euthanasia/Suffering
Cat,Intact Male,120,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Cat,Unknown,1825,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/SCRP
Dog,Spayed Female,2920,Pomeranian Mix,Pomeranian Mix,Tan,Transfer/Partner
Dog,Spayed Female,1095,Pit Bull Mix,Pit Bull Mix,White/Brown,Adoption/
Dog,Intact Female,60,German Shepherd Mix,German Shepherd Mix,Black/Cream,Transfer/Partner
Dog,Neutered Male,2555,German Shepherd,Alaskan Malamute,Tan/Black,Return_to_owner/
Cat,Neutered Male,730,Domestic Longhair Mix,Domestic Longhair Mix,Blue Tabby,Transfer/Partner
Cat,Unknown,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/SCRP
Dog,Spayed Female,730,Pointer Mix,Pointer Mix,White/Black,Transfer/Partner
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Adoption/
Cat,Neutered Male,1095,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/
Dog,Intact Female,90,Labrador Retriever,Flat Coat Retriever,Black/White,Transfer/Partner
Cat,Neutered Male,1460,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Transfer/Partner
Dog,Neutered Male,1460,Whippet Mix,Whippet Mix,Brown/Black,Return_to_owner/
Cat,Intact Female,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Tortie,Transfer/Partner
Cat,Spayed Female,730,Domestic Longhair Mix,Domestic Longhair Mix,Tortie,Transfer/Partner
Dog,Neutered Male,60,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Red/Black,Adoption/Offsite
Dog,Intact Male,730,Dachshund Longhair,Dachshund Longhair,Red/White,Transfer/Partner
Cat,Neutered Male,2555,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue/White,Transfer/Partner
Cat,Intact Male,30,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Transfer/Partner
Dog,Intact Male,120,Dachshund Mix,Dachshund Mix,Red,Transfer/Partner
Cat,Spayed Female,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/Partner
Cat,Intact Male,120,Domestic Longhair Mix,Domestic Longhair Mix,White/Blue,Adoption/
Dog,Neutered Male,60,Miniature Poodle,Miniature Schnauzer,Black/White,Transfer/Partner
Dog,Spayed Female,730,Miniature Schnauzer,Miniature Schnauzer,Black,Return_to_owner/
Cat,Spayed Female,240,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/Orange,Adoption/Foster
Dog,Spayed Female,730,Border Collie Mix,Border Collie Mix,Black/White,Return_to_owner/
Cat,Neutered Male,4380,Domestic Longhair Mix,Domestic Longhair Mix,White,Euthanasia/Suffering
Dog,Neutered Male,1460,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Adoption/
Dog,Spayed Female,1460,Newfoundland,Labrador Retriever,Black/Brown,Adoption/
Dog,Neutered Male,730,Chihuahua Shorthair,Wire Hair Fox Terrier,Brown/White,Adoption/
Dog,Intact Male,60,German Shepherd Mix,German Shepherd Mix,Black/Tan,Transfer/Partner
Dog,Spayed Female,180,Labrador Retriever Mix,Labrador Retriever Mix,Brown,Adoption/
Dog,Intact Male,1460,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan,Transfer/Partner
Cat,Unknown,3650,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby,Euthanasia/Suffering
Cat,Neutered Male,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Transfer/SCRP
Dog,Intact Male,150,Pug Mix,Pug Mix,Tan,Return_to_owner/
Dog,Spayed Female,1825,Pit Bull Mix,Pit Bull Mix,Red/White,Return_to_owner/
Dog,Intact Male,2920,Pit Bull,Pit Bull,Blue/White,Return_to_owner/
Dog,Neutered Male,1095,Lhasa Apso Mix,Lhasa Apso Mix,White,Transfer/Partner
Dog,Spayed Female,730,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate/White,Adoption/
Dog,Neutered Male,730,Australian Cattle Dog,American Staffordshire Terrier,Brown Brindle,Adoption/
Dog,Spayed Female,2190,German Shepherd Mix,German Shepherd Mix,Brown/Black,Return_to_owner/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue,Adoption/
Dog,Neutered Male,300,Australian Cattle Dog,Pit Bull,Black/White,Adoption/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Adoption/
Cat,Spayed Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Adoption/
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/
Dog,Spayed Female,330,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/Brown,Adoption/Offsite
Dog,Spayed Female,120,German Shepherd Mix,German Shepherd Mix,Brown/Black,Adoption/
Cat,Spayed Female,150,Domestic Shorthair Mix,Domestic Shorthair Mix,Blue Tabby/White,Adoption/
Dog,Spayed Female,1095,Pit Bull Mix,Pit Bull Mix,Brown Brindle/White,Euthanasia/Aggressive
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Torbie,Adoption/
Dog,Intact Male,3650,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black/White,Euthanasia/Suffering
Dog,Neutered Male,1095,Yorkshire Terrier Mix,Yorkshire Terrier Mix,Brown/Black,Return_to_owner/
Dog,Intact Female,1460,Miniature Schnauzer,Miniature Poodle,White,Return_to_owner/
Cat,Intact Male,365,Domestic Shorthair Mix,Domestic Shorthair Mix,Black/White,Transfer/SCRP
Cat,Intact Male,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby/White,Transfer/Partner
Dog,Neutered Male,2920,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Tan/White,Euthanasia/Suffering
Dog,Intact Male,30,Pit Bull Mix,Pit Bull Mix,Brown/Chocolate,Transfer/Partner
Dog,Neutered Male,1460,Boxer Mix,Boxer Mix,Red/White,Transfer/Partner
Cat,Neutered Male,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Orange Tabby,Adoption/
Cat,Unknown,730,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/SCRP
Dog,Intact Female,1825,Labrador Retriever Mix,Labrador Retriever Mix,Chocolate,Return_to_owner/
Dog,Neutered Male,730,Mastiff Mix,Mastiff Mix,Red/White,Transfer/Partner
Cat,Intact Female,21,Domestic Shorthair Mix,Domestic Shorthair Mix,Calico/Tricolor,Transfer/Partner
Dog,Spayed Female,730,Jack Russell Terrier Mix,Jack Russell Terrier Mix,White,Return_to_owner/
Cat,Neutered Male,60,Snowshoe Mix,Snowshoe Mix,Chocolate Point/White,Adoption/
Dog,Spayed Female,5110,Chow Chow Mix,Chow Chow Mix,Brown,Return_to_owner/
Cat,Neutered Male,90,Domestic Shorthair Mix,Domestic Shorthair Mix,Black,Transfer/Partner
Dog,Spayed Female,1095,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Black,Adoption/Offsite
Dog,Spayed Female,2920,Manchester Terrier Mix,Manchester Terrier Mix,Black/Tan,Return_to_owner/
Dog,Neutered Male,730,Boxer Mix,Boxer Mix,Brown Brindle/White,Adoption/
Dog,Spayed Female,365,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Cream,Adoption/
Cat,Neutered Male,1095,Domestic Medium Hair Mix,Domestic Medium Hair Mix,Brown Tabby,Transfer/SCRP
Dog,Spayed Female,730,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,White/Brown,Adoption/
Cat,Intact Female,60,Domestic Shorthair Mix,Domestic Shorthair Mix,Brown Tabby/White,Adoption/
Dog,Spayed Female,180,Labrador Retriever Mix,Labrador Retriever Mix,Black/White,Transfer/Partner
Dog,Neutered Male,3285,Chihuahua Shorthair Mix,Chihuahua Shorthair Mix,Brown,Adoption/
