OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair Mix,Black/Tan
Transfer,Partner,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Red Merle/White
Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Brown
Return_to_owner,,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black
Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/Tortie
Transfer,Partner,Dog,Neutered Male,4 months,Dachshund Mix,Tan/White
Euthanasia,Behavior,Dog,Neutered Male,2 years,German Shepherd,Black/Tan
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Brown Tabby/White
Adoption,,Dog,Spayed Female,4 years,Alaskan Malamute/Australian Kelpie,Black/Buff
Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Sable
Euthanasia,Suffering,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black Smoke/White
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Neutered Male,13 years,Border Collie/Catahoula,Brown Merle
Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Neutered Male,9 years,Pug Mix,Brown Brindle
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
Euthanasia,Suffering,Cat,Intact Male,10 years,Domestic Shorthair Mix,White
Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,10 months,Australian Kelpie Mix,Black/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue Tabby/White
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Spayed Female,8 years,Jack Russell Terrier/Chihuahua Shorthair,Black/White
Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Adoption,,Dog,Neutered Male,4 years,Bruss Griffon Mix,Brown
Adoption,,Dog,Spayed Female,5 years,Australian Cattle Dog Mix,Black/Blue Tick
Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Merle
Transfer,Partner,Dog,Intact Male,4 months,Catahoula/Labrador Retriever,Black/White
Return_to_owner,,Cat,Neutered Male,2 years,Himalayan Mix,Lynx Point
Transfer,Partner,Cat,Unknown,1 day,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,1 month,Labrador Retriever/Border Collie,Tricolor
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black
Euthanasia,Suffering,Dog,Intact Female,2 years,Dachshund Mix,Tan
Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,10 months,German Shepherd Mix,Brown/White
Return_to_owner,,Dog,Spayed Female,3 years,Border Collie/Shetland Sheepdog,Liver/White
Adoption,,Dog,Intact Male,2 years,Labrador Retriever/German Shepherd,Chocolate/White
Transfer,Partner,Dog,Spayed Female,2 years,Australian Shepherd,Black
Transfer,Partner,Dog,Intact Female,2 years,Miniature Pinscher Mix,Black/Brown
Adoption,,Dog,Intact Male,15 years,Toy Poodle Mix,Black
Adoption,,Dog,Spayed Female,1 year,Chow Chow Mix,Red
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan
Euthanasia,Rabies Risk,Dog,Intact Male,9 years,German Shepherd/Labrador Retriever,Gold
Return_to_owner,,Dog,Intact Female,1 year,Beagle,Brown/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Spayed Female,2 years,Great Dane Mix,Black/White
Euthanasia,Suffering,Cat,Unknown,7 years,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Spayed Female,1 year,Dachshund Mix,Brown/Tricolor
Adoption,Foster,Dog,Spayed Female,1 month,Miniature Poodle Mix,Brown
Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,3 months,Labrador Retriever/Catahoula,Brown Brindle/White
Transfer,Partner,Cat,Neutered Male,9 months,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Neutered Male,15 years,Chihuahua Shorthair Mix,Black/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
Return_to_owner,,Dog,Intact Female,1 month,Pit Bull Mix,Tan/White
Adoption,,Dog,Spayed Female,3 months,Pug Mix,Brown/Black
Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Black/White
Transfer,Partner,Dog,Intact Female,1 year,Basenji Mix,Tricolor
Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue
Adoption,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Brown/White
Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
Adoption,,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue/White
Return_to_owner,,Dog,Intact Male,3 years,Pit Bull Mix,Black/White
Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Gray
Return_to_owner,,Dog,Neutered Male,11 months,Labrador Retriever/Rottweiler,Black/White
Adoption,Offsite,Dog,Neutered Male,7 months,Chihuahua Shorthair Mix,Brown
Return_to_owner,,Dog,Intact Male,1 year,American Bulldog Mix,Brown Brindle/White
Return_to_owner,,Dog,Spayed Female,1 year,Pit Bull Mix,White/Brown Brindle
Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black/White
Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair,Black/Brown
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
Transfer,Partner,Dog,Intact Female,3 months,Anatol Shepherd/Labrador Retriever,White/Tan
Adoption,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
Transfer,Partner,Dog,Intact Male,3 years,Yorkshire Terrier/Border Terrier,Tan/Gray
Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,5 years,Labrador Retriever Mix,Black/White
Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Tricolor
Euthanasia,Medical,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Blue/Tan
Adoption,,Dog,Spayed Female,11 months,Boxer/Pit Bull,Brown/White
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
Euthanasia,Suffering,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan/White
Return_to_owner,,Dog,Spayed Female,8 years,Labrador Retriever Mix,Chocolate
Return_to_owner,,Dog,Neutered Male,2 years,Great Pyrenees Mix,White
Transfer,Partner,Dog,Neutered Male,8 years,Pit Bull Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Longhair Mix,Tortie
Transfer,Partner,Cat,Intact Female,3 years,Domestic Shorthair Mix,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Dog,Neutered Male,1 year,Miniature Schnauzer Mix,Chocolate
Adoption,,Dog,Neutered Male,5 years,Parson Russell Terrier Mix,White/Brown Brindle
Euthanasia,Suffering,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown
Adoption,,Dog,Neutered Male,2 years,Golden Retriever Mix,Brown
Return_to_owner,,Dog,Neutered Male,6 years,Maltese/Papillon,White/Black
Transfer,Partner,Dog,Spayed Female,3 years,Shih Tzu/Affenpinscher,Black/White
Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,4 years,Bluetick Hound Mix,Brown Merle/White
Transfer,SCRP,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black
Adoption,,Dog,Neutered Male,6 months,Beagle Mix,Tricolor
Adoption,,Dog,Neutered Male,3 years,Yorkshire Terrier Mix,Black/Tan
Adoption,,Dog,Spayed Female,4 years,Golden Retriever Mix,Yellow
Adoption,,Dog,Spayed Female,1 year,Yorkshire Terrier Mix,Black/Brown
Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/White
Adoption,,Dog,Spayed Female,4 years,Australian Shepherd Mix,White/Brown
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue
Adoption,,Dog,Spayed Female,10 months,Miniature Schnauzer/Miniature Poodle,Black/White
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Neutered Male,1 year,Boston Terrier Mix,Brown Brindle/White
Adoption,,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Brown/Black
Transfer,Partner,Dog,Intact Female,1 month,Dachshund,Red
Transfer,Partner,Dog,Neutered Male,2 years,Beagle Mix,Tricolor
Transfer,Partner,Dog,Intact Female,6 years,Labrador Retriever Mix,Yellow
Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan
Return_to_owner,,Dog,Neutered Male,1 year,Miniature Poodle Mix,Black/White
Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Return_to_owner,,Dog,Spayed Female,1 year,Miniature Pinscher Mix,Black/Brown
Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown/Tricolor
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
Transfer,Partner,Dog,Intact Female,2 months,Australian Cattle Dog/German Shepherd,Tricolor
Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Return_to_owner,,Dog,Spayed Female,6 years,Jack Russell Terrier Mix,Tricolor
Transfer,Partner,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Suffering,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Adoption,Foster,Dog,Neutered Male,1 year,Schipperke Mix,Black/White
Return_to_owner,,Dog,Neutered Male,4 years,American Pit Bull Terrier,Black/White
Adoption,,Dog,Spayed Female,2 months,Beagle Mix,Brown/White
Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,Red/White
Return_to_owner,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Tan/White
Transfer,Partner,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black
Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie/White
Return_to_owner,,Dog,Neutered Male,12 years,Australian Cattle Dog Mix,Blue Merle
Transfer,Partner,Cat,Intact Male,2 months,Domestic Longhair Mix,Orange Tabby/White
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Tan/Black
Return_to_owner,,Dog,Spayed Female,10 years,American Foxhound Mix,Tricolor
Adoption,,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black Tabby
Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Blue/White
Transfer,Partner,Cat,Spayed Female,11 months,Siamese/Domestic Shorthair,Black
Adoption,,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Black/White
Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/Brown
Transfer,Partner,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White
Euthanasia,Behavior,Dog,Intact Male,2 years,Flat Coat Retriever Mix,Black/White
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White
Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Intact Male,7 years,Pit Bull Mix,Blue/White
Adoption,,Dog,Spayed Female,2 months,Australian Shepherd/Chihuahua Shorthair,Black/Tan
Euthanasia,Suffering,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Cat,Unknown,4 days,Domestic Shorthair Mix,Cream
Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange/White
Adoption,,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Intact Male,7 years,Labrador Retriever Mix,Brown
Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Boxer,Tan/White
Adoption,Foster,Dog,Spayed Female,3 months,Boxer Mix,Fawn/White
Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair/Siamese,Lynx Point
Transfer,Partner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Brown/White
Adoption,,Dog,Neutered Male,5 years,Rottweiler,Black/Brown
Transfer,Partner,Dog,Intact Male,1 year,Border Collie Mix,Black
Adoption,,Dog,Neutered Male,1 year,Cardigan Welsh Corgi Mix,Tan/White
Transfer,Partner,Dog,Intact Female,5 years,Redbone Hound Mix,Red
Adoption,,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Blue
Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
Adoption,Foster,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Tan/White
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,5 months,German Shepherd Mix,Tricolor
Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Tricolor
Transfer,SCRP,Cat,Intact Male,,Domestic Shorthair Mix,Blue
Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
Transfer,Partner,Dog,Neutered Male,3 years,Pomeranian Mix,Red
Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
Return_to_owner,,Dog,Intact Male,2 years,Rottweiler,Black/Tan
Adoption,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/Tan
Return_to_owner,,Dog,Spayed Female,8 years,Siberian Husky Mix,Tricolor
Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Silver Tabby/White
Transfer,SCRP,Cat,Intact Male,5 months,Siamese Mix,Seal Point
Transfer,Partner,Dog,Neutered Male,9 months,Pit Bull Mix,Blue/White
Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,1 year,Border Collie/Labrador Retriever,Chocolate
Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
Return_to_owner,,Dog,Spayed Female,10 months,Australian Shepherd Mix,White/Tan
Euthanasia,Rabies Risk,Dog,Neutered Male,1 year,American Bulldog/Pit Bull,White/Black
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Torbie
Adoption,,Dog,Neutered Male,2 months,Great Pyrenees Mix,White
Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
Transfer,SCRP,Cat,Unknown,3 years,Domestic Shorthair Mix,Black
Adoption,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White
Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Black
Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Brown
Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
Adoption,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
Transfer,Partner,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Tricolor
Adoption,,Dog,Spayed Female,6 years,Labrador Retriever Mix,Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Longhair Mix,Cream
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Return_to_owner,,Dog,Spayed Female,2 years,Australian Cattle Dog/Dachshund,Tricolor/Blue Merle
Euthanasia,Suffering,Dog,Spayed Female,12 years,Jack Russell Terrier Mix,White/Brown
Transfer,SCRP,Cat,Intact Female,6 months,Domestic Shorthair Mix,Calico
Died,In Surgery,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
Adoption,,Dog,Spayed Female,9 years,Pit Bull,Black/White
Transfer,Partner,Dog,Intact Male,3 years,Pit Bull Mix,White/Brown Brindle
Transfer,Partner,Dog,Spayed Female,7 months,Labrador Retriever Mix,Buff
Adoption,,Dog,Spayed Female,1 year,Border Terrier Mix,Brown
Transfer,Partner,Dog,Neutered Male,5 years,German Shepherd/Alaskan Malamute,White
Return_to_owner,,Dog,Neutered Male,8 years,Boston Terrier Mix,Black Brindle/White
Return_to_owner,,Dog,Intact Male,1 year,Rottweiler Mix,Black/Tan
Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
Return_to_owner,,Dog,Spayed Female,1 year,American Bulldog Mix,White/Brown
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie/White
Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Yellow
Euthanasia,Suffering,Cat,Intact Female,7 months,Domestic Shorthair Mix,Gray/White
Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Cream Tabby
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,15 years,Domestic Shorthair Mix,Blue/White
Return_to_owner,,Dog,Neutered Male,10 years,Lhasa Apso Mix,White/Brown
Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
Return_to_owner,,Dog,Spayed Female,6 years,Border Collie,Black/White
Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White
Transfer,Partner,Dog,Neutered Male,1 year,Plott Hound/Labrador Retriever,Brown Brindle/White
Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Gray/White
Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown Merle
Adoption,,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Tan
Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
Adoption,,Dog,Neutered Male,3 months,Pit Bull Mix,Chocolate/White
Transfer,Partner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Chocolate/White
Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Torbie
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue/White
Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black
Transfer,Partner,Dog,Neutered Male,5 months,Labrador Retriever/Pit Bull,Brown Brindle/White
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Return_to_owner,,Dog,Neutered Male,11 years,Beagle Mix,Tricolor
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Transfer,SCRP,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,4 years,Border Collie Mix,Chocolate/White
Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
Adoption,Foster,Dog,Neutered Male,3 years,Pit Bull Mix,Fawn
Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue/White
Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Female,1 year,Siberian Husky Mix,White/Tan
Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
Transfer,Partner,Dog,Intact Male,2 months,Plott Hound/Labrador Retriever,Tricolor
Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Chocolate
Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black
Return_to_owner,,Dog,Intact Male,2 months,Pit Bull Mix,Blue/Tan
Adoption,,Dog,Spayed Female,5 months,Dachshund Mix,White/Red Merle
Euthanasia,Aggressive,Dog,Neutered Male,4 years,Pit Bull,White/Black
Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Unknown,3 months,Pit Bull Mix,Brown Brindle
Euthanasia,Suffering,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Orange
Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
Transfer,Partner,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby/White
Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue
Adoption,,Dog,Spayed Female,2 months,Plott Hound Mix,Brown Brindle/White
Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Adoption,,Dog,Neutered Male,1 year,Papillon Mix,Tan/White
Return_to_owner,,Dog,Spayed Female,11 months,Anatol Shepherd Mix,Tan
Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair,Tortie
Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue Cream/Tortie
Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie/White
Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Fawn
Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,10 months,Australian Cattle Dog/German Shepherd,Blue Merle/Brown
Adoption,,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Calico
Adoption,,Dog,Neutered Male,3 years,Toy Poodle Mix,White
Transfer,Partner,Dog,Neutered Male,3 years,Golden Retriever Mix,Red
Return_to_owner,,Dog,Spayed Female,7 years,Australian Cattle Dog Mix,Blue Tick/Brown
Adoption,,Dog,Neutered Male,2 years,Miniature Schnauzer Mix,Gray/White
Adoption,,Dog,Neutered Male,5 months,Chihuahua Shorthair/Cavalier Span,Brown/White
Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu,Sable
Return_to_owner,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Calico
Died,In Foster,Cat,Unknown,2 months,Domestic Shorthair Mix,Cream Tabby
Transfer,Partner,Dog,Neutered Male,2 years,Siberian Husky/Beagle,White/Tan
Transfer,Partner,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,White/Black
Transfer,Partner,Dog,Spayed Female,1 year,American Bulldog Mix,White/Blue
Transfer,Partner,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby
Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby
Return_to_owner,,Dog,Spayed Female,9 months,Chihuahua Shorthair Mix,White/Brown
Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair Mix,Black/White
Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Return_to_owner,,Dog,Spayed Female,3 years,Pointer Mix,Black/White
Return_to_owner,,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Red
Transfer,Partner,Dog,Neutered Male,8 months,Great Dane/Labrador Retriever,Brown Brindle/White
Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair Mix,White/Black Tabby
Adoption,Foster,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Brown Tabby/White
Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
Return_to_owner,,Dog,Intact Female,6 years,Irish Wolfhound/Great Dane,Black/White
Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
Adoption,,Dog,Neutered Male,1 year,German Shepherd/Chow Chow,Brown/Black
Euthanasia,Aggressive,Dog,Neutered Male,2 years,Staffordshire/Labrador Retriever,Black/White
Transfer,Partner,Dog,Intact Female,2 months,Cocker Spaniel/Miniature Poodle,Brown/Black
Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
Adoption,,Dog,Spayed Female,3 years,German Shepherd/Australian Cattle Dog,Black/Brown
Transfer,SCRP,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Black
Transfer,Partner,Cat,Intact Female,6 days,Domestic Medium Hair Mix,Torbie
Euthanasia,Suffering,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
Transfer,Partner,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle/White
Transfer,Partner,Dog,Spayed Female,12 years,Weimaraner Mix,Gray
Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
Transfer,Partner,Dog,Spayed Female,13 years,Australian Shepherd Mix,Brown/White
Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
